Value,Row,Column
-1.4067761400218628e-38,0.0,0.0
6.67651876314027e-39,0.0,1.0
-1.4139435014071914e-38,0.0,2.0
-1.346000704585324e-38,0.0,3.0
-1.3437440535383753e-38,0.0,4.0
-1.3737253947019905e-38,0.0,5.0
-1.2919631325547982e-38,0.0,6.0
-1.4627480644525425e-38,0.0,7.0
-1.4463607196913424e-38,1.0,0.0
-1.280001088343936e-38,1.0,1.0
-1.4668882007653902e-38,1.0,2.0
-1.4523015245308474e-38,1.0,3.0
-1.3393037590944693e-38,1.0,4.0
-1.3473594035763333e-38,1.0,5.0
-1.4025495435937663e-38,1.0,6.0
-1.4518681029158318e-38,1.0,7.0
3.347087141505842e-38,2.0,0.0
1.2809413596134978e-38,2.0,1.0
-2.6310740729805764e-38,2.0,2.0
-5.95149674678786e-39,2.0,3.0
-7.935996013786166e-39,2.0,4.0
1.2835170863207733e-38,2.0,5.0
1.3139637987043907e-38,2.0,6.0
-1.2528087515138664e-38,2.0,7.0
-1.3509254279083471e-38,3.0,0.0
-2.6388944394502804e-38,3.0,1.0
-1.3441935900857307e-38,3.0,2.0
-1.455829573674478e-38,3.0,3.0
-1.4796845780819116e-38,3.0,4.0
-1.304775484673813e-38,3.0,5.0
-1.3132998634919936e-38,3.0,6.0
-1.4665476852385593e-38,3.0,7.0
-1.42011748231116e-38,4.0,0.0
1.2441424211612495e-38,4.0,1.0
-1.4263085590563935e-38,4.0,2.0
-1.368855602278769e-38,4.0,3.0
-1.322693467747595e-38,4.0,4.0
-1.4836565585790402e-38,4.0,5.0
-1.4467787270232505e-38,4.0,6.0
-1.4650100404336556e-38,4.0,7.0
-1.4274238525041497e-38,5.0,0.0
1.22464923848372e-38,5.0,1.0
-1.430627781312982e-38,5.0,2.0
-1.363003920021595e-38,5.0,3.0
-1.4573117270601944e-38,5.0,4.0
-1.4112852382203672e-38,5.0,5.0
-1.2992350308055655e-38,5.0,6.0
-1.394636411165724e-38,5.0,7.0
-1.362663404494764e-38,6.0,0.0
1.4944437541574127e-38,6.0,1.0
-1.4528383619725303e-38,6.0,2.0
-1.3886708033434004e-38,6.0,3.0
-1.3409184753149108e-38,6.0,4.0
-1.2878943223337847e-38,6.0,5.0
-1.4868072380462282e-38,6.0,6.0
-1.3606270375664071e-38,6.0,7.0
-1.294228191392533e-38,7.0,0.0
1.5500317228088674e-38,7.0,1.0
-1.4362405421819885e-38,7.0,2.0
-1.3957484816270122e-38,7.0,3.0
-1.4064986829259265e-38,7.0,4.0
-1.4367361814488202e-38,7.0,5.0
-1.4290705183295778e-38,7.0,6.0
-1.4865711192549894e-38,7.0,7.0
-1.4005760949664576e-38,8.0,0.0
1.1912854430869174e-38,8.0,1.0
-1.50074623413056e-38,8.0,2.0
-1.3943022014819826e-38,8.0,3.0
-1.3490374584873623e-38,8.0,4.0
-1.3779913676169346e-38,8.0,5.0
-1.336785765883924e-38,8.0,6.0
-1.450236150724279e-38,8.0,7.0
-1.4328898974239415e-38,9.0,0.0
1.3803287334554283e-38,9.0,1.0
-1.3391999228782628e-38,9.0,2.0
-1.3261402415802948e-38,9.0,3.0
-1.4891450242742613e-38,9.0,4.0
-1.4645418666167247e-38,9.0,5.0
-1.3289327491600013e-38,9.0,6.0
-1.4350247756343403e-38,9.0,7.0
-1.3090459417438428e-38,10.0,0.0
-1.4671722439641088e-38,10.0,1.0
-1.3243542866875128e-38,10.0,2.0
-1.3143712962978164e-38,10.0,3.0
-1.4073243279811066e-38,10.0,4.0
-1.4332916496936634e-38,10.0,5.0
-1.4052149534027585e-38,10.0,6.0
-1.341043611267775e-38,10.0,7.0
1.374278347076013e-38,11.0,0.0
6.740237205611584e-39,11.0,1.0
2.4022907989428923e-38,11.0,2.0
2.2479257219307205e-38,11.0,3.0
1.1474828149099737e-38,11.0,4.0
1.1292292208539858e-38,11.0,5.0
-1.10480907277589e-38,11.0,6.0
-1.1848411517091805e-38,11.0,7.0
-1.417055224777071e-38,12.0,0.0
-8.747211898679195e-39,12.0,1.0
-1.3812269657710606e-38,12.0,2.0
-1.4464771675937278e-38,12.0,3.0
-1.4947921169556438e-38,12.0,4.0
-1.4673984135362509e-38,12.0,5.0
-1.3488903221486082e-38,12.0,6.0
-1.4108378036207083e-38,12.0,7.0
-1.424382754576872e-38,13.0,0.0
1.5482709912884433e-38,13.0,1.0
-1.3653771591007754e-38,13.0,2.0
-1.483505778864279e-38,13.0,3.0
-1.3948208220436292e-38,13.0,4.0
-1.2826321663405522e-38,13.0,5.0
-1.3915301528598552e-38,13.0,6.0
-1.368164201616471e-38,13.0,7.0
-1.4758303066557861e-38,14.0,0.0
-1.604342688169783e-38,14.0,1.0
-1.369884015221737e-38,14.0,2.0
-1.3293576228543846e-38,14.0,3.0
-1.3011522873644547e-38,14.0,4.0
-1.4098539519689058e-38,14.0,5.0
-1.3138467902826196e-38,14.0,6.0
-1.481340072087665e-38,14.0,7.0
-1.46918604998719e-38,15.0,0.0
1.4365331333013396e-38,15.0,1.0
-1.338193930710724e-38,15.0,2.0
-1.4504795562675323e-38,15.0,3.0
-1.3228623242125462e-38,15.0,4.0
-1.458469619981266e-38,15.0,5.0
-1.3507628772864855e-38,15.0,6.0
-1.4650226521198346e-38,15.0,7.0
